iter	Passed	Remaining
0	1	106
1	1	91
2	2	85
3	3	78
4	4	78
5	4	78
6	5	78
7	6	77
8	7	75
9	8	73
10	8	71
11	9	69
12	10	68
13	10	66
14	11	66
15	12	65
16	13	63
17	13	62
18	14	61
19	15	60
20	15	58
21	16	57
22	16	56
23	17	55
24	18	55
25	19	54
26	19	53
27	20	52
28	21	52
29	22	51
30	22	50
31	23	49
32	24	49
33	24	48
34	25	47
35	26	46
36	26	45
37	27	45
38	28	44
39	28	43
40	29	42
41	29	41
42	30	40
43	31	39
44	32	39
45	32	38
46	33	37
47	34	37
48	35	36
49	35	35
50	36	35
51	37	34
52	37	33
53	38	32
54	39	31
55	39	31
56	40	30
57	41	29
58	41	28
59	42	28
60	42	27
61	43	26
62	44	25
63	44	25
64	45	24
65	46	23
66	47	23
67	47	22
68	48	21
69	48	20
70	49	20
71	50	19
72	50	18
73	51	18
74	52	17
75	53	16
76	53	16
77	54	15
78	55	14
79	55	13
80	56	13
81	57	12
82	57	11
83	58	11
84	59	10
85	59	9
86	60	9
87	61	8
88	62	7
89	62	6
90	63	6
91	64	5
92	64	4
93	65	4
94	66	3
95	66	2
96	67	2
97	68	1
98	68	0
99	69	0
