iter	Passed	Remaining
0	1	1305
1	2	1026
2	2	977
3	3	907
4	4	868
5	5	839
6	5	811
7	6	791
8	7	780
9	7	774
10	8	763
11	9	749
12	9	747
13	10	740
14	11	735
15	11	728
16	12	724
17	13	720
18	13	715
19	14	711
20	15	714
21	16	716
22	16	718
23	17	720
24	18	720
25	19	718
26	19	720
27	20	721
28	21	716
29	22	714
30	22	711
31	23	710
32	24	706
33	24	703
34	25	701
35	26	700
36	26	697
37	27	693
38	28	692
39	28	692
40	29	693
41	30	692
42	31	690
43	31	691
44	32	691
45	33	690
46	33	687
47	34	686
48	35	684
49	35	683
50	36	681
51	37	678
52	37	678
53	38	676
54	39	674
55	39	672
56	40	671
57	41	669
58	41	669
59	42	667
60	43	665
61	43	665
62	44	665
63	45	664
64	46	664
65	47	665
66	47	665
67	48	664
68	49	662
69	49	661
70	50	661
71	51	660
72	51	658
73	52	657
74	53	656
75	53	655
76	54	654
77	55	652
78	55	650
79	56	648
80	57	648
81	57	646
82	58	641
83	58	639
84	59	637
85	59	635
86	60	633
87	61	632
88	61	631
89	62	629
90	62	627
91	63	625
92	64	625
93	64	624
94	65	621
95	65	619
96	66	617
97	66	615
98	67	613
99	67	611
100	68	609
101	69	607
102	69	606
103	70	604
104	71	605
105	71	604
106	72	603
107	72	602
108	73	600
109	74	599
110	74	599
111	75	598
112	76	597
113	76	596
114	77	595
115	77	593
116	78	591
117	78	590
118	79	588
119	80	586
120	80	585
121	81	582
122	81	581
123	82	579
124	82	578
125	83	578
126	83	576
127	84	575
128	85	575
129	85	574
130	86	573
131	87	572
132	87	572
133	88	571
134	88	570
135	89	569
136	90	569
137	91	569
138	91	567
139	92	566
140	92	565
141	93	562
142	93	561
143	94	560
144	94	558
145	95	557
146	96	557
147	96	555
148	97	554
149	97	553
150	98	556
151	99	556
152	100	556
153	101	556
154	101	555
155	102	554
156	103	553
157	103	552
158	104	551
159	104	550
160	105	549
161	106	549
162	106	547
163	107	547
164	108	546
165	108	546
166	109	545
167	110	545
168	110	544
169	111	543
170	112	542
171	112	543
172	113	543
173	114	542
174	114	542
175	115	541
176	116	541
177	117	541
178	117	540
179	129	588
180	130	589
181	131	592
182	132	591
183	133	591
184	133	590
185	134	588
186	135	588
187	136	587
188	136	586
189	137	585
190	138	584
191	138	583
192	139	582
193	140	582
194	140	581
195	141	580
196	142	579
197	142	577
198	143	576
199	143	575
200	144	573
201	144	572
202	145	571
203	146	570
204	146	569
205	147	567
206	147	566
207	148	565
208	148	563
209	149	563
210	150	562
211	150	561
212	151	560
213	152	559
214	153	559
215	153	558
216	154	557
217	155	556
218	155	555
219	156	554
220	156	553
221	157	552
222	158	550
223	158	549
224	159	548
225	159	547
226	160	546
227	161	545
228	161	544
229	162	543
230	162	541
231	163	540
232	163	539
233	164	538
234	165	538
235	166	537
236	166	536
237	167	535
238	167	534
239	168	533
240	169	533
241	170	532
242	170	531
243	171	530
244	172	530
245	173	530
246	173	529
247	174	529
248	175	528
249	175	527
250	176	527
251	177	526
252	178	525
253	178	525
254	179	524
255	180	524
256	181	524
257	182	524
258	183	524
259	184	523
260	184	523
261	185	522
262	186	522
263	186	521
264	187	520
265	188	519
266	188	518
267	189	517
268	190	517
269	190	516
270	191	515
271	192	514
272	192	513
273	193	512
274	194	512
275	195	511
276	196	511
277	196	511
278	197	510
279	198	510
280	199	509
281	199	508
282	200	508
